,0
1402,8505396
1403,8505397
1404,8505398
1405,8505305:0:3
1406,8505213:0:6
1407,8505214
1408,8505300:0:1
1409,8505301:0:1
1410,8505302:0:4
1411,8505303:0:4
1412,8505304:0:2
1413,8518475:0:1
1414,8505305:0:2
1415,8505307:0:5
1416,8505300:0:2
1417,8505305:0:1
1418,8505214:0:3
1419,8505214:0:2
1420,8505216:0:4
1421,8505217:0:1
1422,8505218:0:2
1423,8505219:0:1
1424,8505217
1425,8505213
1426,8505304:0:3
1427,8301312
1428,8301313
1429,8301315
1430,8301316
1431,8301318
1432,8301320
1433,8301321
1434,8301322
1435,8301325
1436,8301326
1437,8301700
