stop,type,population
"Etzwil, Mandacherstrasse",Bus,0
"Mandach, Dorf",Bus,0
Bremgarten,Train,-1
Bremgarten Obertor,Train,-1
Bibenlos-Sonnenhof,Train,-1
Berikon-Widen,Train,8208
Bremgarten Isenlauf,Train,-1
Zufikon,Train,4366
Zufikon Belvédère,Train,-1
Rudolfstetten Hofacker,Train,-1
Bremgarten West,Train,-1
Erdmannlistein,Train,-1
Wohlen Oberdorf,Train,-1
Boswil-Bünzen,Train,3820
Muri AG,Train,7532
Sins,Train,4271
Benzenschwil,Train,-1
Zufikon Hammergut,Train,-1
"Bremgarten AG, Bibenlos",Bus,0
Widen Heinrüti,Train,3611
"Bremgarten AG, Bahnhof",Bus,0
"Bremgarten AG, Badenerstrasse",Bus,0
"Bremgarten AG, Kaserne",Bus,0
"Oberwil-Lieli, Bündtenmättli",Bus,0
"Berikon-Widen, Bahnhof",Bus,0
"Berikon, Kesslernmatt",Bus,0
"Berikon, Kreisschule",Bus,0
"Widen, Burkertsmatt",Bus,0
"Dättwil AG, Langacker",Bus,0
"Baden, Ziegelhau",Bus,0
"Baden, Kehl",Bus,0
"Baden, Sonnmatt",Bus,0
"Baden, Brunnmatt",Bus,0
"Niederrohrdorf, Hiltiberg",Bus,0
"Niederrohrdorf,Gemeindezentrum",Bus,0
"Dättwil AG, Täfere",Bus,0
"Baden, Rüteli",Bus,0
"Fislisbach, Sommerhalde",Bus,0
"Baden, Liebenfels",Bus,0
"Neuenhof, Webermühle",Bus,0
"Neuenhof, Klosterrüti",Bus,0
"Neuenhof, Kreuzstein",Bus,0
"Neuenhof, Eich",Bus,0
"Wettingen, Kloster",Bus,0
"Neuenhof, Landhaus",Bus,0
"Baden, Segelhof",Bus,0
"Neuenhof, Posthorn",Bus,0
"Neuenhof, Kirchfeld",Bus,0
"Killwangen, Mühlehalde",Bus,0
"Ennetbaden, Schiefe Brücke",Bus,0
"Baden, Thermalbaden",Bus,0
"Ennetbaden, Gemeindehaus",Bus,0
"Ennetbaden, Goldwand",Bus,0
"Baden, Langmatt",Bus,0
"Ennetbaden, Kirche",Bus,0
"Rieden AG, Oederlin",Bus,0
"Rieden AG, Alte Landstrasse",Bus,0
"Nussbaumen AG, Markthof",Bus,0
"Nussbaumen AG, Landschreiber",Bus,0
"Kirchdorf AG, Aesch",Bus,0
"Kirchdorf AG, Landstrasse",Bus,0
"Kirchdorf AG, Dorf",Bus,0
"Untersiggenthal, Schönegg",Bus,0
"Untersiggenthal, Spiracher",Bus,0
"Untersiggenthal, Gemeindehaus",Bus,0
"Untersiggenthal, Hölzli",Bus,0
"Untersiggenthal, Mühleweg",Bus,0
"Siggenthal-W., Bahnh./Hauptstr",Bus,0
"Siggenthal-W., Bahnhof",Bus,0
"Würenlingen, Weissenstein",Bus,0
"Aarau Rohr, Unterdorf",Bus,0
"Aarau Rohr, Gemeindehaus",Bus,0
"Aarau Rohr, Rigistrasse",Bus,0
"Aarau Rohr, Quellhölzli",Bus,0
"Erlinsbach, Sugen",Bus,0
"Erlinsbach, Dorfplatz",Bus,0
