,stop,type
609,"Oberhofen AG, Kreuz",Bus
610,"Etzgen, Dorf",Bus
611,"Oberhofen AG, Ausserdorf",Bus
612,"Full, Schulweg",Bus
613,"Leibstadt, Milchhüsli",Bus
614,"Remigen, Zentrum",Bus
615,"Remigen, Stig",Bus
616,"Stilli, Villigerstrasse",Bus
617,"Rüfenach AG, Vorderrein",Bus
618,"Bürersteig, Passhöhe",Bus
619,"Remigen, Abzw. Ueberthal",Bus
620,"Rüfenach AG, Dorf",Bus
621,"Riniken, Gemeindehaus",Bus
622,"Lauffohr, Dorf",Bus
623,"Stilli, Aarebrücke",Bus
624,"Villigen, Post",Bus
625,"Villigen, Gemeindehaus",Bus
626,"Lauffohr, Platte",Bus
627,"Rüfenach AG, Hinterrein",Bus
628,"Gansingen, Oberbüren",Bus
629,"Mönthal, Unterdorf",Bus
630,"Rüfenach AG, Schulhaus",Bus
631,"Gansingen, Dorfplatz",Bus
632,"Gansingen, Oberdorf",Bus
633,"Gansingen, Unterbüren",Bus
634,"Sisseln AG, Syngenta",Bus
635,"Stein AG, Novartis",Bus
636,"Mumpf, Ankengasse",Bus
637,"Mumpf, Dorf",Bus
638,"Obermumpf, Bündtematt",Bus
639,"Mumpf, Adlerplatz",Bus
640,"Ittenthal, Rüttiweg",Bus
641,"Ittenthal, Dorfmitte",Bus
642,"Koblenz, Bahnhof",Bus
643,"Döttingen, Bahnhof",Bus
644,"Rietheim, Bahnhof",Bus
645,"Leuggern, Felsenau Werkhof",Bus
646,"Kleindöttingen, Post",Bus
647,"Döttingen, Ochsen",Bus
648,"Döttingen, Chunte",Bus
649,"Bad Zurzach, Bahnhof",Bus
650,"Bad Zurzach, Baslerstrasse",Bus
651,"Rietheim, Badstrasse",Bus
652,"Full, Fähre",Bus
653,"Full, Mitte",Bus
654,"Reuenthal AG, Dorfplatz",Bus
655,"Leibstadt, Kernkraftwerk",Bus
656,"Full, Militärmuseum",Bus
657,"Leuggern, Turnhalle",Bus
658,"Leuggern, Gippingen Härdlestr.",Bus
659,"Leuggern, Post",Bus
660,"Kleindöttingen, Burlen",Bus
661,"Leuggern, Dietsche/Sternen",Bus
662,"Leuggern, Brühlmatt",Bus
663,"Kleindöttingen, Schwächeler",Bus
664,"Kleindöttingen, Breite",Bus
665,"Tegerfelden, Hochbrücke",Bus
666,"Kleindöttingen, Eien",Bus
667,"Hettenschwil, Kapelle",Bus
668,"Etzwil, Mandacherstrasse",Bus
669,"Mandach, Dorf",Bus
670,Bremgarten,Train
671,Bremgarten Obertor,Train
672,Bibenlos-Sonnenhof,Train
673,Berikon-Widen,Train
674,Bremgarten Isenlauf,Train
675,Zufikon,Train
676,Zufikon Belvédère,Train
677,Rudolfstetten Hofacker,Train
678,Bremgarten West,Train
679,Erdmannlistein,Train
680,Wohlen Oberdorf,Train
681,Boswil-Bünzen,Train
682,Muri AG,Train
683,Sins,Train
684,Benzenschwil,Train
685,Zufikon Hammergut,Train
686,"Bremgarten AG, Bibenlos",Bus
687,Widen Heinrüti,Train
688,"Bremgarten AG, Bahnhof",Bus
689,"Bremgarten AG, Badenerstrasse",Bus
690,"Bremgarten AG, Kaserne",Bus
691,"Oberwil-Lieli, Bündtenmättli",Bus
692,"Berikon-Widen, Bahnhof",Bus
693,"Berikon, Kesslernmatt",Bus
694,"Berikon, Kreisschule",Bus
695,"Widen, Burkertsmatt",Bus
696,"Dättwil AG, Langacker",Bus
697,"Baden, Ziegelhau",Bus
698,"Baden, Kehl",Bus
699,"Baden, Sonnmatt",Bus
700,"Baden, Brunnmatt",Bus
701,"Niederrohrdorf, Hiltiberg",Bus
702,"Niederrohrdorf,Gemeindezentrum",Bus
703,"Dättwil AG, Täfere",Bus
704,"Baden, Rüteli",Bus
705,"Fislisbach, Sommerhalde",Bus
706,"Baden, Liebenfels",Bus
707,"Neuenhof, Webermühle",Bus
708,"Neuenhof, Klosterrüti",Bus
709,"Neuenhof, Kreuzstein",Bus
710,"Neuenhof, Eich",Bus
