,0
1302,8582547
1303,8579848
1304,8590281
1305,8594392
1306,8590287
1307,8590285
1308,8594393
1309,8590289
1310,8590282
1311,8590209
1312,8578665
1313,8578664
1314,8578663
1315,8578662
1316,8578661
1317,8578660
1318,8578659
1319,8594391
1320,8594390
1321,8588428
1322,8588427
1323,8587346
1324,8590304
1325,8590193
1326,8590190:0:1
1327,8572727
1328,8572726
1329,8580586
1330,8572725
1331,8572724
1332,8572723
1333,8502393
1334,8572722
1335,8593493
1336,8572721
1337,8572720
1338,8572719
1339,8572718
1340,8572717
1341,8572716
1342,8572701
1343,8572702
1344,8572703
1345,8502354
1346,8503506:0:6
1347,8503508:0:5
1348,8503001:0:6
1349,8503001:0:7
1350,8503508:0:6
1351,8591365
1352,8591059
1353,8591329
1354,8590152
1355,8590136
1356,8590140
1357,8590145
1358,8590150
1359,8590143
1360,8590149
1361,8590144
1362,8590135
1363,8590139
1364,8590155
1365,8590160
1366,8590153
1367,8590141
1368,8590227
1369,8590233
1370,8590234
1371,8590236
1372,8590228
1373,8590229
1374,8590230
1375,8590232
1376,8590231
1377,8590190:0:3
1378,8590189
1379,8590195
1380,8590180
1381,8590167
1382,8590168
1383,8590171
1384,8590170
1385,8590181
1386,8590182
1387,8590165
1388,8578914:0:4
1389,8502353
1390,8502355
1391,8572740
1392,8502359
1393,8572355
1394,8582506
1395,8572354
1396,8572353
1397,8582507
1398,8582524
1399,8582525
1400,8500598
1401,8572352:0:B2
1402,8572352:0:A2
1403,8590161
1404,8578046
1405,8578047
1406,8578048
1407,8578049
1408,8590290
1409,8578054
1410,8578055
1411,8590283
1412,8590284
1413,8590286
1414,8590154
1415,8590146
1416,8590147
1417,8590148
1418,8590137
1419,8590159
1420,8590132
1421,8578682
1422,8590238
1423,8590394
1424,8590166
1425,8590175
1426,8590199
1427,8502690
1428,8590191
1429,8578914:0:2
1430,8590173
1431,8502350
1432,8572705
1433,8572704
1434,8502356
1435,8502891
1436,8572706
1437,8502351
1438,8572707
1439,8502366
1440,8595160
1441,8595159
1442,8595158
1443,8595157
1444,8502892
1445,8502596
1446,8502595
1447,8502594
1448,8502593
1449,8572650
1450,8502592
1451,8572649
1452,8502591
1453,8502590
1454,8502589
1455,8502598
1456,8502597
1457,8590157
1458,8590158
1459,8594994
1460,8582802
1461,8578358
1462,8578359
1463,8583447
1464,8578360
1465,8581070
1466,8577508
1467,8583448
1468,8578348
1469,8578349
1470,8572668
1471,8502095
1472,8572666
1473,8502887
1474,8581055
1475,8502096
1476,8581347
1477,8502097
1478,8502886
1479,8502748
1480,8572661
1481,8572660
1482,8502088
1483,8502089
1484,8572657
1485,8572656
1486,8572669
1487,8572313
1488,8572258
1489,8500789
1490,8582233
1491,8582232
1492,8582231
1493,8582230
1494,8580477
1495,8582259
1496,8580474
1497,8572256
1498,8580475
1499,8583446
1500,8577361
1501,8500690
1502,8583445
1503,8572252
1504,8500772
1505,8572269
1506,8572268
1507,8572267
1508,8500973
1509,8572265
1510,8572264
1511,8500987
1512,8572263
1513,8572262
1514,8572261
1515,8500791
1516,8572260
1517,8583809
1518,8572259
1519,8580565
1520,8500970
1521,8572266
1522,8502034:0:2
1523,8502033:0:2
1524,8502032:0:1
1525,8502031:0:1
1526,8502030:0:2
1527,8502119:0:7
1528,8502034:0:1
1529,8502030:0:1
1530,8502033:0:1
1531,8572426
1532,8572427
1533,8572431
1534,8572429
1535,8582523
1536,8572432
1537,8580335
1538,8572434
1539,8500584
1540,8572433
1541,8572435
1542,8582500
1543,8500586
1544,8572425
1545,8582502
1546,8572248
1547,8572247
1548,8572246
1549,8572245
1550,8572244
1551,8572240
1552,8502169
1553,8502168
1554,8502167
1555,8502166
1556,8502165
1557,8502163
1558,8516450
1559,8502161
1560,8502174
1561,8502160
1562,8502164
1563,8502196
1564,8502181
1565,8502195
1566,8502178
1567,8502197
1568,8502199
1569,8502122
1570,8502101
1571,8587020
1572,8590535
1573,8590222
1574,8590218
1575,8590521
1576,8590220
1577,8590201
1578,8590202
1579,8590205
1580,8590241
1581,8587018
1582,8502186
1583,8502278
1584,8502277
1585,8502187
1586,8502188
1587,8580346
1588,8591891
1589,8590270
1590,8590268
1591,8590292
1592,8590302
1593,8578683
1594,8583662
1595,8502280
1596,8577575
1597,8577576
1598,8502791
1599,8577577
1600,8502852
1601,8577579
1602,8502850
1603,8593413
1604,8502795
1605,8577580
1606,8577582
1607,8593415
1608,8588710
1609,8589237
1610,8502794
1611,8587260
1612,8502790
1613,8502217
1614,8572352
1615,8578736
1616,8578747
1617,8580283
1618,8580282
1619,8580281
1620,8580278
1621,8580277
1622,8580276
1623,8580275
1624,8580345
1625,8580313
1626,8580312
1627,8580295
1628,8580293
1629,8580287
1630,8580286
1631,8581884
1632,8581883
1633,8581882
1634,8580382
1635,8580314
1636,8580334
1637,8580342
1638,8580347
1639,8580348
1640,8580349
1641,8580350
1642,8580351
1643,8580352
1644,8580727
1645,8580353
1646,8581641
1647,8580354
1648,8580355
1649,8580356
1650,8580357
1651,8580362
1652,8580360
1653,8580363
1654,8580364
1655,8580365
1656,8572627
1657,8580369
1658,8580367
1659,8582513
1660,8582515
1661,8582517
1662,8582520
1663,8583441
1664,8582518
1665,8582521
1666,8583442
1667,8582516
1668,8582526
1669,8582510
1670,8582511
1671,8582512
1672,8582519
1673,8582509
1674,8582508
1675,8583655
1676,8506796
1677,8574076
1678,8574446
1679,8506756
1680,8506599
1681,8574448
1682,8574449
1683,8506753
1684,8574451
1685,8574453
1686,8574454
1687,8580210
1688,8574458
1689,8574460
1690,8574462
1691,8506654
1692,8574465
1693,8574467
1694,8574469
1695,8574471
1696,8574095:0:J
1697,8574095:0:C
1698,8574447
1699,8574078
1700,8580542
1701,8574079
1702,8574080
1703,8574081
1704,8506761
1705,8581399
1706,8574450
1707,8574452
1708,8506767
1709,8574455
1710,8580997
1711,8574457
1712,8574459
1713,8574461
1714,8574463
1715,8574464
1716,8574466
1717,8574468
1718,8574470
1719,8574472
1720,8574224
1721,8574225
1722,8574226
1723,8574227
1724,8574228
1725,8574229
1726,8574237
1727,8580797
1728,8506651
1729,8581566
1730,8574154
1731,8576150
1732,8506778
1733,8573945
1734,8573946
1735,8590319
1736,8590320
1737,8590321
1738,8590322
1739,8578506
1740,8590323
1741,8590324
1742,8590325
1743,8590326
1744,8588239
1745,8578507
1746,8581401
1747,8590342
1748,8581402
1749,8590341
1750,8589908
1751,8588964
1752,8588965
1753,8588966
1754,8588889
1755,8588961
1756,8581774
1757,8581777
1758,8589552
1759,8582227
1760,8589890
1761,8589590
1762,8595437
1763,8595967
1764,8589896
1765,8574206
1766,8574207
1767,8574208
1768,8588062
1769,8506696
1770,8506710
1771,8506697
1772,8588243
1773,8574209
1774,8506774
1775,8588244
1776,8587121
1777,8574211
1778,8506698
1779,8590343
1780,8590344
1781,8590345
1782,8590336
1783,8590337
1784,8590338
1785,8590339
1786,8590340
1787,8595415
1788,8590349
1789,8574194
1790,8590348
1791,8574195
1792,8590347
1793,8590346
1794,8589113
1795,8589112
1796,8590350
1797,8590351
1798,8590352
1799,8590353
1800,8590354
1801,8595414
1802,8590363
1803,8590362
1804,8590361
1805,8590360
1806,8590359
1807,8590358
1808,8590357
1809,8590356
1810,8574095:0:E
1811,8574257
1812,8574258
1813,8574259
1814,8506604
1815,8506600
1816,8574214
1817,8506605
1818,8506606
1819,8506775
1820,8574213
1821,8506603
1822,8506713
1823,8506759
1824,8506709
1825,8506712
1826,8580242
1827,8581741
1828,8577630
1829,8574215
1830,8583762
1831,8574067
1832,8574068
1833,8574069
1834,8574070
1835,8574071
1836,8574072
1837,8574073
1838,8574074
1839,8574160
1840,8506773
1841,8574188
1842,8506607
1843,8506602
1844,8574189
1845,8506601
1846,8506608
1847,8574190
1848,8581667
1849,8574179
1850,8574180
1851,8506704
1852,8574181
1853,8506705
1854,8506695
1855,8574182
1856,8506770
1857,8574196
1858,8574184
1859,8574185
1860,8574186
1861,8574187
1862,8581722
1863,8574197
1864,8506751
1865,8581030
1866,8574198
1867,8574199
1868,8506757
1869,8574017
1870,8574016
1871,8503984
1872,8574015
1873,8503986
1874,8574014
1875,8503987
1876,8574013
1877,8503983
1878,8574012
1879,8574011
1880,8574010
1881,8574008
1882,8574066
1883,8574075
1884,8594233
1885,8594234
1886,8594235
1887,8588566
1888,8506370:0:12
1889,8506270
1890,8506358
1891,8506359
1892,8518100
1893,8506361
1894,8506362
1895,8506363
1896,8506364
1897,8506365
1898,8506366
1899,8506367
1900,8506368
1901,8506369
1902,8506286:0:3A
1903,8506380
1904,8506381
1905,8506378:0:3
1906,8506382
1907,8506276
1908,8506377
1909,8506376
1910,8506375
1911,8506470
1912,8506374
1913,8506373:0:1
1914,8506372
1915,8506371
1916,8506370:0:11
1917,8506286:0:2
1918,8506373:0:2
1919,8506286
1920,8506370:0:11A
1921,8506370:0:11B
1922,8506378:0:2
1923,8574093
1924,8574092
1925,8574091
1926,8574090
1927,8574089
1928,8506762
1929,8574088
1930,8574087
1931,8574086
1932,8574085
1933,8506782
1934,8574084
1935,8574083
1936,8574077
1937,8574082
1938,8574114
1939,8574115
1940,8574116
1941,8574117
1942,8574118
1943,8574100
1944,8581840
1945,8574475
1946,8574476
1947,8574477
1948,8574096
1949,8574097
1950,8574098
