,0,1
426,66-156-Y-j18-1,Regionalzug
427,66-157-Y-j18-1,Regionalzug
428,2-158-j18-1,Bus
429,16-158-j18-1,Bus
430,66-158-Y-j18-1,Regionalzug
431,16-159-j18-1,Bus
432,66-159-Y-j18-1,Regionalzug
433,30-15-Y-j18-1,Bus
434,40-15-Y-j18-1,Eurocity
435,59-15-Y-j18-1,InterRegio
436,66-15-Y-j18-1,Regionalzug
437,68-15-Y-j18-1,S-Bahn
438,69-15-Y-j18-1,S-Bahn
439,76-15-Y-j18-1,Schnellzug
440,78-15-Y-j18-1,RegioExpress
441,79-15-Y-j18-1,RegioExpress
442,80-15-Y-j18-1,RegioExpress
443,1-16-j18-1,InterRegio
444,6-16-j18-1,Bus
445,7-16-j18-1,Bus
446,11-16-j18-1,Bus
447,12-16-j18-1,Bus
448,19-16-j18-1,Bus
449,20-16-j18-1,Bus
450,25-16-j18-1,Bus
451,26-16-j18-1,S-Bahn
452,79-16-j18-1,Bus
453,6-160-j18-1,Bus
454,26-160-j18-1,Bus
455,66-160-Y-j18-1,Regionalzug
456,6-161-j18-1,Bus
457,23-161-j18-1,Bus
458,24-161-j18-1,Bus
459,79-161-j18-1,Bus
460,66-161-Y-j18-1,Regionalzug
461,6-162-j18-1,Bus
462,22-162-j18-1,Bus
463,23-162-j18-1,Bus
464,79-162-j18-1,Bus
465,66-162-Y-j18-1,Regionalzug
466,79-163-A-j18-1,Bus
467,79-163-j18-1,Bus
468,66-163-Y-j18-1,Regionalzug
469,6-164-j18-1,Bus
470,66-164-Y-j18-1,Regionalzug
471,6-165-A-j18-1,Bus
472,6-165-j18-1,Bus
473,66-165-Y-j18-1,Regionalzug
474,6-166-A-j18-1,Bus
475,6-166-j18-1,Bus
476,66-166-Y-j18-1,Regionalzug
477,6-167-A-j18-1,Bus
478,6-167-j18-1,Bus
479,66-167-Y-j18-1,Regionalzug
480,66-168-Y-j18-1,Regionalzug
481,30-16-Y-j18-1,Bus
482,40-16-Y-j18-1,Eurocity
483,59-16-Y-j18-1,InterRegio
484,66-16-Y-j18-1,Regionalzug
485,68-16-Y-j18-1,S-Bahn
486,69-16-Y-j18-1,S-Bahn
487,79-16-Y-j18-1,RegioExpress
488,80-16-Y-j18-1,RegioExpress
489,1-17-j18-1,S-Bahn
490,6-17-A-j18-1,Bus
491,6-17-j18-1,InterRegio
492,7-17-j18-1,Bus
493,11-17-A-j18-1,Bus
494,11-17-j18-1,Bus
495,23-170-j18-1,Bus
496,26-170-j18-1,Bus
497,2-171-j18-1,Bus
498,6-171-j18-1,Bus
499,11-171-j18-1,Bus
500,23-171-j18-1,Bus
501,2-172-j18-1,Bus
502,6-172-j18-1,Bus
503,23-172-j18-1,Bus
504,2-173-j18-1,Bus
505,23-173-j18-1,Bus
506,2-174-j18-1,Bus
507,6-174-j18-1,Bus
508,23-174-j18-1,Bus
509,79-174-j18-1,Bus
510,2-175-j18-1,Bus
511,18-175-j18-1,Bus
512,2-176-j18-1,Bus
513,18-176-j18-1,Bus
514,30-17-Y-j18-1,Bus
515,40-17-Y-j18-1,Eurocity
516,59-17-Y-j18-1,InterRegio
517,66-17-Y-j18-1,Regionalzug
518,68-17-Y-j18-1,S-Bahn
519,69-17-Y-j18-1,S-Bahn
520,79-17-Y-j18-1,RegioExpress
521,80-17-Y-j18-1,RegioExpress
522,7-18-j18-1,Bus
523,12-18-j18-1,Bus
524,26-18-A-j18-1,S-Bahn
525,26-18-j18-1,S-Bahn
526,79-18-j18-1,S-Bahn
527,2-180-j18-1,Bus
528,6-180-j18-1,Bus
529,18-180-j18-1,Bus
530,2-181-j18-1,Bus
531,6-181-j18-1,Bus
532,8-181-j18-1,Bus
533,2-182-j18-1,Bus
534,6-182-j18-1,Bus
535,8-182-j18-1,Bus
536,11-182-j18-1,Bus
537,16-182-j18-1,Bus
538,2-183-j18-1,Bus
539,11-183-A-j18-1,Bus
540,16-183-j18-1,Bus
541,79-183-j18-1,Bus
542,11-184-j18-1,Bus
543,16-184-j18-1,Bus
544,16-185-j18-1,Bus
545,18-188-j18-1,Bus
546,79-188-j18-1,Bus
547,18-189-j18-1,Bus
548,26-18S-j18-1,S-Bahn
549,30-18-Y-j18-1,Bus
550,40-18-Y-j18-1,Eurocity
551,59-18-Y-j18-1,InterRegio
552,66-18-Y-j18-1,Regionalzug
553,68-18-Y-j18-1,S-Bahn
554,79-18-Y-j18-1,RegioExpress
555,80-18-Y-j18-1,RegioExpress
556,6-19-j18-1,Bus
557,12-19-j18-1,Bus
558,26-19-j18-1,S-Bahn
559,2-190-j18-1,Bus
560,18-190-j18-1,Bus
561,3-191-j18-1,Bus
562,11-191-j18-1,Bus
563,20-191-j18-1,Bus
564,24-191-j18-1,Bus
